0.000000e+00	1.000000e+00
7.241266e-12	9.990100e-01
7.247014e-11	9.980200e-01
3.263604e-10	9.970300e-01
9.870867e-10	9.960400e-01
2.360673e-09	9.950500e-01
4.841344e-09	9.940600e-01
8.911876e-09	9.930700e-01
1.514395e-08	9.920800e-01
2.419852e-08	9.910900e-01
3.682613e-08	9.901000e-01
5.386735e-08	9.891100e-01
7.625305e-08	9.881200e-01
1.050048e-07	9.871300e-01
1.412353e-07	9.861400e-01
1.861487e-07	9.851500e-01
2.410408e-07	9.841600e-01
3.072997e-07	9.831700e-01
3.864061e-07	9.821800e-01
4.799334e-07	9.811900e-01
5.895487e-07	9.802000e-01
7.170122e-07	9.792100e-01
8.641787e-07	9.782200e-01
1.032997e-06	9.772300e-01
1.225511e-06	9.762400e-01
1.443861e-06	9.752500e-01
1.690279e-06	9.742600e-01
1.967098e-06	9.732700e-01
2.276743e-06	9.722800e-01
2.621739e-06	9.712900e-01
3.004707e-06	9.703000e-01
3.428364e-06	9.693100e-01
3.895528e-06	9.683200e-01
4.409112e-06	9.673300e-01
4.972130e-06	9.663400e-01
5.587696e-06	9.653500e-01
6.259019e-06	9.643600e-01
6.989414e-06	9.633700e-01
7.782290e-06	9.623800e-01
8.641163e-06	9.613900e-01
9.569646e-06	9.604000e-01
1.057145e-05	9.594100e-01
1.165040e-05	9.584200e-01
1.281042e-05	9.574300e-01
1.405552e-05	9.564400e-01
1.538983e-05	9.554500e-01
1.681758e-05	9.544600e-01
1.834311e-05	9.534700e-01
1.997084e-05	9.524800e-01
2.170534e-05	9.514900e-01
2.355123e-05	9.505000e-01
2.551328e-05	9.495100e-01
2.759635e-05	9.485200e-01
2.980540e-05	9.475300e-01
3.214550e-05	9.465400e-01
3.462184e-05	9.455500e-01
3.723970e-05	9.445600e-01
4.000448e-05	9.435700e-01
4.292168e-05	9.425800e-01
4.599692e-05	9.415900e-01
4.923592e-05	9.406000e-01
5.264452e-05	9.396100e-01
5.622865e-05	9.386200e-01
5.999436e-05	9.376300e-01
6.394784e-05	9.366400e-01
6.809534e-05	9.356500e-01
7.244327e-05	9.346600e-01
7.699811e-05	9.336700e-01
8.176649e-05	9.326800e-01
8.675512e-05	9.316900e-01
9.197086e-05	9.307000e-01
9.742064e-05	9.297100e-01
1.031116e-04	9.287200e-01
1.090508e-04	9.277300e-01
1.152456e-04	9.267400e-01
1.217034e-04	9.257500e-01
1.284318e-04	9.247600e-01
1.354384e-04	9.237700e-01
1.427309e-04	9.227800e-01
1.503173e-04	9.217900e-01
1.582055e-04	9.208000e-01
1.664036e-04	9.198100e-01
1.749199e-04	9.188200e-01
1.837628e-04	9.178300e-01
1.929407e-04	9.168400e-01
2.024622e-04	9.158500e-01
2.123360e-04	9.148600e-01
2.225710e-04	9.138700e-01
2.331761e-04	9.128800e-01
2.441603e-04	9.118900e-01
2.555329e-04	9.109000e-01
2.673033e-04	9.099100e-01
2.794807e-04	9.089200e-01
2.920749e-04	9.079300e-01
3.050954e-04	9.069400e-01
3.185522e-04	9.059500e-01
3.324550e-04	9.049600e-01
3.468141e-04	9.039700e-01
3.616396e-04	9.029800e-01
3.769417e-04	9.019900e-01
3.927309e-04	9.010000e-01
4.090178e-04	9.000100e-01
4.258131e-04	8.990200e-01
4.431276e-04	8.980300e-01
4.609721e-04	8.970400e-01
4.793578e-04	8.960500e-01
4.982959e-04	8.950600e-01
5.177977e-04	8.940700e-01
5.378746e-04	8.930800e-01
5.585382e-04	8.920900e-01
5.798002e-04	8.911000e-01
6.016725e-04	8.901100e-01
6.241669e-04	8.891200e-01
6.472957e-04	8.881300e-01
6.710710e-04	8.871400e-01
6.955051e-04	8.861500e-01
7.206106e-04	8.851600e-01
7.464000e-04	8.841700e-01
7.728862e-04	8.831800e-01
8.000819e-04	8.821900e-01
8.280002e-04	8.812000e-01
8.566542e-04	8.802100e-01
8.860572e-04	8.792200e-01
9.162226e-04	8.782300e-01
9.471639e-04	8.772400e-01
9.788948e-04	8.762500e-01
1.011429e-03	8.752600e-01
1.044780e-03	8.742700e-01
